Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
   (588) Achilles          1906 TG     L4    4.437   5.983   8.28  20230913   10.94  133.8  316.5   10.3  0.148   5.210    60     MPO775939
   (617) Patroclus         1906 VY     L5    4.480   5.937   8.28  20230913  336.01  308.4   44.4   22.1  0.140   5.208    65     MPO775939
   (624) Hektor            1907 XM     L4    5.149   5.395   7.43  20230913  305.09  179.6  342.8   18.2  0.023   5.272    72     MPO775939
   (659) Nestor            1908 CS     L4    4.567   5.771   8.76  20230913  115.14  344.1  350.7    4.5  0.116   5.169    62     MPO775940
   (884) Priamus           1917 CQ     L5    4.551   5.856   8.69  20230913   63.55  337.0  301.5    8.9  0.125   5.203    57     MPO775944
   (911) Agamemnon         1919 FD     L4    4.926   5.641   7.97  20230913   37.96   81.7  338.0   21.8  0.068   5.283    60     MPO775945
  (1143) Odysseus          1930 BH     L4    4.755   5.714   8.47  20230913  346.97  238.1  221.2    3.1  0.092   5.235    60     MPO775949
  (1172) Aneas             1930 UA     L5    4.673   5.790   8.26  20230913   43.23   51.6  247.3   16.7  0.107   5.231    51     MPO775949
  (1173) Anchises          1930 UB     L5    4.545   6.010   8.99  20230913  345.79   41.5  283.9    6.9  0.139   5.277    48     MPO775949
  (1208) Troilus           1931 YA     L5    4.765   5.740   9.11  20230913  353.41  295.9   48.6   33.5  0.093   5.252    39     MPO775950
  (1404) Ajax              1936 QW     L4    4.685   5.885   9.35  20230913   47.47   61.8  332.9   18.0  0.114   5.285    41     MPO775953
  (1437) Diomedes          1937 PB     L4    4.978   5.459   8.24  20230913   41.98  129.3  315.8   20.5  0.046   5.219    50     MPO775954
  (1583) Antilochus        1950 SA     L4    4.868   5.423   8.61  20230913   65.80  187.9  221.4   28.5  0.054   5.145    47     MPO775957
  (1647) Menelaus          1957 MK     L4    5.090   5.326  10.53  20230913  272.10  294.1  240.3    5.7  0.023   5.208    43     MPO775958
  (1749) Telamon           1949 SB     L4    4.579   5.701   9.53  20230913  357.99  114.0  340.8    6.1  0.109   5.140    38     MPO775960
  (1867) Deiphobus         1971 EA     L5    4.899   5.371   8.42  20230913   55.06    1.1  283.7   26.9  0.046   5.135    39     MPO775962
  (1868) Thersites         2008 P-L    L4    4.730   5.895   9.53  20230913   77.31  171.3  197.8   16.8  0.110   5.312    36     MPO775962
